"id","distance","identity_code","inter_flag","inter_mobile_identity_code","inter_time","major_minor","place","rssi","upload_time"
"30280","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:08:58",,,"-92","1668237020000"
"30281","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:08:58",,,"-89","1668237020000"
"30282","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:09:41",,,"-81","1668237020000"
"30283","2","0926bde8","1","f69de6fcbletest0","2022/11/12 15:09:42",,,"-73","1668237020000"
"30284","2","0926bde8","1","f69de6fcbletest0","2022/11/12 15:09:42",,,"-74","1668237020000"
"30285","2","0926bde8","1","f69de6fcbletest0","2022/11/12 15:09:43",,,"-75","1668237020000"
"30286","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:09:44",,,"-81","1668237020000"
"30287","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:09:45",,,"-81","1668237020000"
"30289","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:09:46",,,"-82","1668237020000"
"30290","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:09:47",,,"-83","1668237020000"
"30292","2","0926bde8","1","f69de6fcbletest0","2022/11/12 15:09:48",,,"-74","1668237020000"
"30294","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:09:48",,,"-80","1668237020000"
"30296","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:09:49",,,"-80","1668237020000"
"30375","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:10:25",,,"-86","1668237107000"
"30376","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:10:26",,,"-81","1668237107000"
"30378","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:10:27",,,"-82","1668237107000"
"30380","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:10:28",,,"-89","1668237107000"
"30381","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:10:28",,,"-80","1668237107000"
"30383","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:10:31",,,"-80","1668237107000"
"30385","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:10:31",,,"-87","1668237107000"
"30386","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:10:32",,,"-86","1668237107000"
"30388","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:10:32",,,"-80","1668237107000"
"30389","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:10:33",,,"-85","1668237107000"
"30391","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:10:34",,,"-83","1668237107000"
"30393","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:10:35",,,"-79","1668237107000"
"30395","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:10:35",,,"-80","1668237107000"
"30405","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:11:11",,,"-88","1668237107000"
"30406","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:11:12",,,"-79","1668237107000"
"30407","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:11:12",,,"-88","1668237107000"
"30408","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:11:12",,,"-91","1668237107000"
"30409","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:11:13",,,"-91","1668237107000"
"30410","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:11:14",,,"-100","1668237107000"
"30411","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:11:14",,,"-90","1668237107000"
"30412","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:11:14",,,"-95","1668237107000"
"30413","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:11:16",,,"-91","1668237107000"
"31404","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:11:56",,,"-78","1668237197000"
"31405","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:11:57",,,"-78","1668237197000"
"31406","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:11:58",,,"-89","1668237197000"
"31407","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:11:59",,,"-77","1668237197000"
"31408","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:11:59",,,"-76","1668237197000"
"31409","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:00",,,"-86","1668237197000"
"31410","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:00",,,"-77","1668237197000"
"31411","2","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:01",,,"-74","1668237197000"
"31412","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:01",,,"-76","1668237197000"
"31413","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:03",,,"-77","1668237197000"
"31414","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:03",,,"-80","1668237197000"
"31415","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:04",,,"-83","1668237197000"
"31416","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:04",,,"-85","1668237197000"
"31417","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:04",,,"-80","1668237197000"
"31418","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:05",,,"-78","1668237197000"
"31419","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:05",,,"-82","1668237197000"
"31420","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:05",,,"-82","1668237197000"
"31421","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:06",,,"-79","1668237197000"
"31423","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:07",,,"-80","1668237197000"
"31426","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:08",,,"-88","1668237197000"
"31429","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:08",,,"-88","1668237197000"
"31432","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:44",,,"-81","1668237197000"
"31435","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:45",,,"-79","1668237197000"
"31438","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:46",,,"-78","1668237197000"
"31440","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:12:46",,,"-77","1668237197000"
